region,year,age,city,village
Volynska,2014,20-24,1 849,2 448
Volynska,2014,25-29,2 563,2 350
Volynska,2014,30-34,1 626,1 404
Volynska,2014,35-39,619,692
Volynska,2014,40-44,133,180
Volynska,2014,45-49,2,0
Volynska,2014,50-54,0,0
Volynska,2014,55 and older,0,0
Volynska,2015,before 15,1,2
Volynska,2015,15-19,241,526
Volynska,2015,20-24,1 733,2 367
Volynska,2015,25-29,2 321,2 081
Volynska,2015,30-34,1 528,1 208
Volynska,2015,35-39,590,545
Volynska,2015,40-44,106,112
Volynska,2015,45-49,6,7
Volynska,2015,50-54,0,0
Volynska,2015,55 and older,0,0
Volynska,2016,before 15,0,2
Volynska,2016,15-19,217,480
Volynska,2016,20-24,1 562,2 285
Volynska,2016,25-29,2 238,2 070
Volynska,2016,30-34,1 504,1 233
Volynska,2016,35-39,586,609
Volynska,2016,40-44,123,110
Volynska,2016,45-49,7,5
Volynska,2016,50-54,0,0
Volynska,2016,55 and older,0,0
Volynska,2017,before 15,2,1
Volynska,2017,15-19,179,395
Volynska,2017,20-24,1 329,2 055
Volynska,2017,25-29,1 969,1 922
Volynska,2017,30-34,1 525,1 164
Volynska,2017,35-39,602,518
Volynska,2017,40-44,117,126
Volynska,2017,45-49,4,4
Volynska,2017,50-54,0,0
Volynska,2017,55 and older,0,0
Dnipropetrovska,1990,before 15,0,0
Dnipropetrovska,1990,15-19,6 765,1 723
Dnipropetrovska,1990,20-24,15 783,3 210
Dnipropetrovska,1990,25-29,10 344,1 794
Dnipropetrovska,1990,30-34,5 148,906
Dnipropetrovska,1990,35-39,1 738,339
Dnipropetrovska,1990,40-44,278,82
Dnipropetrovska,1990,45-49,7,2
Dnipropetrovska,1990,50-54,0,1
Dnipropetrovska,1990,55 and older,0,1
Dnipropetrovska,1991,before 15,0,0
Dnipropetrovska,1991,15-19,6 727,1 778
Dnipropetrovska,1991,20-24,15 227,3 156
Dnipropetrovska,1991,25-29,8 888,1 809
Dnipropetrovska,1991,30-34,4 836,920
Dnipropetrovska,1991,35-39,1 492,307
Dnipropetrovska,1991,40-44,309,70
Dnipropetrovska,1991,45-49,6,4
Dnipropetrovska,1991,50-54,0,1
Dnipropetrovska,1991,55 and older,0,0
Dnipropetrovska,1992,before 15,0,0
Dnipropetrovska,1992,15-19,6 282,1 711
Dnipropetrovska,1992,20-24,14 195,2 874
Dnipropetrovska,1992,25-29,7 843,1 665
Dnipropetrovska,1992,30-34,4 307,771
Dnipropetrovska,1992,35-39,1 441,286
Dnipropetrovska,1992,40-44,288,63
Dnipropetrovska,1992,45-49,4,1
Dnipropetrovska,1992,50-54,0,0
Dnipropetrovska,1992,55 and older,0,0
Dnipropetrovska,1993,before 15,0,0
Dnipropetrovska,1993,15-19,6 095,1 705
Dnipropetrovska,1993,20-24,13 043,2 850
Dnipropetrovska,1993,25-29,7 097,1 557
Dnipropetrovska,1993,30-34,3 904,773
Dnipropetrovska,1993,35-39,1 317,268
Dnipropetrovska,1993,40-44,232,77
Dnipropetrovska,1993,45-49,12,4
Dnipropetrovska,1993,50-54,1,0
Dnipropetrovska,1993,55 and older,0,0
Dnipropetrovska,1994,before 15,0,0
Dnipropetrovska,1994,15-19,6 056,1 760
Dnipropetrovska,1994,20-24,12 109,2 736
Dnipropetrovska,1994,25-29,6 081,1 398
Dnipropetrovska,1994,30-34,3 387,732
Dnipropetrovska,1994,35-39,1 153,239
Dnipropetrovska,1994,40-44,228,83
Dnipropetrovska,1994,45-49,5,2
Dnipropetrovska,1994,50-54,1,0
Dnipropetrovska,1994,55 and older,0,0
Dnipropetrovska,1995,before 15,13,5
Dnipropetrovska,1995,15-19,5 577,1 661
Dnipropetrovska,1995,20-24,11 064,2 621
Dnipropetrovska,1995,25-29,5 912,1 401
Dnipropetrovska,1995,30-34,3 007,625
Dnipropetrovska,1995,35-39,1 055,216
Dnipropetrovska,1995,40-44,177,54
Dnipropetrovska,1995,45-49,6,2
Dnipropetrovska,1995,50-54,0,0
Dnipropetrovska,1995,55 and older,0,0
Dnipropetrovska,1996,before 15,14,5
Dnipropetrovska,1996,15-19,4 930,1 453
Dnipropetrovska,1996,20-24,10 469,2 358
Dnipropetrovska,1996,25-29,5 369,1 274
Dnipropetrovska,1996,30-34,2 650,592
Dnipropetrovska,1996,35-39,996,203
Dnipropetrovska,1996,40-44,188,61
Dnipropetrovska,1996,45-49,6,1
Dnipropetrovska,1996,50-54,0,0
Dnipropetrovska,1996,55 and older,0,0
Dnipropetrovska,1997,before 15,9,4
Dnipropetrovska,1997,15-19,4 402,1 428
Dnipropetrovska,1997,20-24,10 004,2 312
Dnipropetrovska,1997,25-29,5 332,1 301
Dnipropetrovska,1997,30-34,2 420,559
Dnipropetrovska,1997,35-39,975,256
Dnipropetrovska,1997,40-44,147,43
Dnipropetrovska,1997,45-49,7,4
Dnipropetrovska,1997,50-54,0,1
Dnipropetrovska,1997,55 and older,0,0
Dnipropetrovska,1998,before 15,4,4
Dnipropetrovska,1998,15-19,3 993,1 301
Dnipropetrovska,1998,20-24,9 586,2 191
Dnipropetrovska,1998,25-29,5 396,1 206
Dnipropetrovska,1998,30-34,2 426,560
Dnipropetrovska,1998,35-39,939,223
Dnipropetrovska,1998,40-44,183,44
Dnipropetrovska,1998,45-49,5,4
Dnipropetrovska,1998,50-54,0,0
Dnipropetrovska,1998,55 and older,0,0
Dnipropetrovska,1999,before 15,9,6
Dnipropetrovska,1999,15-19,3 328,1 253
Dnipropetrovska,1999,20-24,8 793,2 023
Dnipropetrovska,1999,25-29,5 254,1 158
Dnipropetrovska,1999,30-34,2 267,522
Dnipropetrovska,1999,35-39,958,228
Dnipropetrovska,1999,40-44,158,53
Dnipropetrovska,1999,45-49,12,0
Dnipropetrovska,1999,50-54,0,0
Dnipropetrovska,1999,55 and older,0,0
Dnipropetrovska,2000,before 15,5,5
Dnipropetrovska,2000,15-19,3 053,1 102
Dnipropetrovska,2000,20-24,8 769,1 968
Dnipropetrovska,2000,25-29,5 397,1 124
Dnipropetrovska,2000,30-34,2 426,538
Dnipropetrovska,2000,35-39,876,201
Dnipropetrovska,2000,40-44,171,48
Dnipropetrovska,2000,45-49,3,1
Dnipropetrovska,2000,50-54,0,0
Dnipropetrovska,2000,55 and older,0,0
Dnipropetrovska,2001,before 15,9,2
Dnipropetrovska,2001,15-19,2 858,1 001
Dnipropetrovska,2001,20-24,8 819,1 874
Dnipropetrovska,2001,25-29,5 574,1 108
Dnipropetrovska,2001,30-34,2 618,544
Dnipropetrovska,2001,35-39,891,228
Dnipropetrovska,2001,40-44,187,62
Dnipropetrovska,2001,45-49,10,6
Dnipropetrovska,2001,50-54,0,0
Dnipropetrovska,2001,55 and older,0,0
Dnipropetrovska,2002,before 15,2,3
Dnipropetrovska,2002,15-19,2 980,1 069
Dnipropetrovska,2002,20-24,8 998,1 954
Dnipropetrovska,2002,25-29,6 203,1 142
Dnipropetrovska,2002,30-34,3 009,576
Dnipropetrovska,2002,35-39,941,190
Dnipropetrovska,2002,40-44,190,51
Dnipropetrovska,2002,45-49,5,0
Dnipropetrovska,2002,50-54,0,0
Dnipropetrovska,2002,55 and older,0,0
Dnipropetrovska,2003,before 15,6,2
Dnipropetrovska,2003,15-19,3 002,1 045
Dnipropetrovska,2003,20-24,9 343,2 002
Dnipropetrovska,2003,25-29,6 880,1 248
Dnipropetrovska,2003,30-34,3 311,622
Dnipropetrovska,2003,35-39,1 115,218
Dnipropetrovska,2003,40-44,224,52
Dnipropetrovska,2003,45-49,7,5
Dnipropetrovska,2003,50-54,0,0
Dnipropetrovska,2003,55 and older,0,0
Dnipropetrovska,2004,before 15,8,0
Dnipropetrovska,2004,15-19,3 036,1 029
Dnipropetrovska,2004,20-24,10 006,1 991
Dnipropetrovska,2004,25-29,7 319,1 253
Dnipropetrovska,2004,30-34,3 825,618
Dnipropetrovska,2004,35-39,1 217,246
Dnipropetrovska,2004,40-44,248,62
Dnipropetrovska,2004,45-49,8,3
Dnipropetrovska,2004,50-54,0,0
Dnipropetrovska,2004,55 and older,0,0
Dnipropetrovska,2005,before 15,6,1
Dnipropetrovska,2005,15-19,2 811,975
